year,tournament,golfer,age,day1,day2,day3,day4,total,drivingDistance,drivingAccuracy,GIR,eagles,birdies,bogeys,score_change,improvement_slope,,,,,
2005,British Open,Adam Scott,24,70,71,70,75,286,-,-,-,-,-,-,4,1.4,,1,2,3,4
2005,British Open,Alastair Forsyth,29,77,70,-,-,147,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Alex Cejka,34,74,72,-,-,146,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Andre Bossert,-,74,77,-,-,151,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Andrew Butterfield,-,77,76,-,-,153,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Andrew Marshall,31,84,74,-,-,158,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Andy Oldcorn,35,76,72,-,-,148,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Angel Cabrera,35,75,74,-,-,149,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Bart Bryant,-,69,70,71,74,284,-,-,-,-,-,-,6,1.6,,1,2,3,4
2005,British Open,Ben Curtis,-,78,70,-,-,148,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Bernhard Langer,47,71,69,70,71,281,-,-,-,-,-,-,1,0.1,,1,2,3,4
2005,British Open,Bo Van Pelt,-,72,67,73,76,288,-,-,-,-,-,-,10,1.8,,1,2,3,4
2005,British Open,Bob Tway,45,69,71,72,75,287,-,-,-,-,-,-,7,1.9,,1,2,3,4
2005,British Open,Brad Faxon,43,72,66,70,76,284,-,-,-,-,-,-,8,1.6,,1,2,3,4
2005,British Open,Brian Davis,-,77,71,-,-,148,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Brian McElhinney,-,78,75,-,-,153,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Chad Campbell,30,78,73,-,-,151,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Charl Schwartzel,-,76,72,-,-,148,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Charles Howell III,25,71,75,-,-,146,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Chris Campbell,-,81,74,-,-,155,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Chris DiMarco,36,75,69,71,76,291,-,-,-,-,-,-,3,0.5,,1,2,3,4
2005,British Open,Chris Riley,31,68,73,75,75,291,-,-,-,-,-,-,9,2.3,,1,2,3,4
2005,British Open,Colin Montgomerie,41,71,66,70,72,279,-,-,-,-,-,-,5,0.7,,1,2,3,4
2005,British Open,Craig Parry,39,78,74,-,-,152,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Daniel Chopra,31,76,70,-,-,146,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Danny Chia,32,74,73,-,-,147,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Darren Clarke,-,73,70,67,73,283,-,-,-,-,-,-,-3,-0.3,,1,2,3,4
2005,British Open,David Diaz,-,74,75,-,-,149,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,David Duval,33,80,77,-,-,157,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,David Frost,45,77,65,72,69,283,-,-,-,-,-,-,-1,-1.7,,1,2,3,4
2005,British Open,David Smail,-,73,72,69,77,291,-,-,-,-,-,-,1,0.9,,1,2,3,4
2005,British Open,David Toms,38,74,-,-,-,74,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Davis Love III,41,75,74,-,-,149,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Doug McGuigan,-,74,76,-,-,150,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Duffy Waldorf,42,74,68,81,68,291,-,-,-,-,-,-,7,-0.5,,1,2,3,4
2005,British Open,Edoardo Molinari,24,70,70,74,75,289,-,-,-,-,-,-,9,1.9,,1,2,3,4
2005,British Open,Eric Ramsay,25,68,74,74,68,284,-,-,-,-,-,-,0,0,,1,2,3,4
2005,British Open,Ernie Els,35,74,67,75,70,286,-,-,-,-,-,-,4,-0.4,,1,2,3,4
2005,British Open,Euan Walters,34,72,74,-,-,146,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Fred Couples,45,68,71,73,68,280,-,-,-,-,-,-,2,0.2,,1,2,3,4
2005,British Open,Fred Funk,48,77,71,-,-,148,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Freddie Jacobson,30,71,70,72,75,288,-,-,-,-,-,-,6,1.4,,1,2,3,4
2005,British Open,Geoff Ogilvy,27,71,74,67,69,281,-,-,-,-,-,-,-9,-1.3,,1,2,3,4
2005,British Open,Graeme McDowell,25,69,72,74,67,282,-,-,-,-,-,-,0,-0.4,,1,2,3,4
2005,British Open,Graeme Storm,27,75,70,80,71,296,-,-,-,-,-,-,6,-0.2,,1,2,3,4
2005,British Open,Greg Norman,50,72,71,70,76,289,-,-,-,-,-,-,3,1.1,,1,2,3,4
2005,British Open,Henrik Stenson,29,74,67,73,72,286,-,-,-,-,-,-,4,0,,1,2,3,4
2005,British Open,Hiroyuki Fujita,35,72,68,74,73,287,-,-,-,-,-,-,7,0.9,,1,2,3,4
2005,British Open,Ian Poulter,29,70,72,71,69,282,-,-,-,-,-,-,-2,-0.4,,1,2,3,4
2005,British Open,Ian Woosnam,47,73,75,-,-,148,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Ignacio Garrido,40,71,77,-,-,148,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Jack Nicklaus,65,75,72,-,-,147,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Jason Allred,25,74,74,-,-,148,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Jean Van De Velde,38,77,73,-,-,150,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Jean-Francois Remesy,-,73,74,-,-,147,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Jerry Kelly,38,74,73,-,-,147,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Jim Furyk,34,78,70,-,-,148,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Joakim Haeggman,35,75,73,-,-,148,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Joe Durant,41,79,67,-,-,146,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Joe Ogilvie,31,74,70,73,69,286,-,-,-,-,-,-,-2,-1.2,,1,2,3,4
2005,British Open,John Bickerton,-,75,70,71,73,289,-,-,-,-,-,-,-1,-0.5,,1,2,3,4
2005,British Open,John Daly,39,71,69,70,73,283,-,-,-,-,-,-,3,0.7,,1,2,3,4
2005,British Open,John Wade,37,76,82,-,-,158,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Jose Maria Olazabal,39,68,70,68,74,280,-,-,-,-,-,-,4,1.6,,1,2,3,4
2005,British Open,Justin Leonard,32,73,71,75,69,288,-,-,-,-,-,-,0,-0.8,,1,2,3,4
2005,British Open,K.J. Choi,34,75,68,71,73,287,-,-,-,-,-,-,1,-0.3,,1,2,3,4
2005,British Open,Kenneth Ferrie,26,74,75,-,-,149,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Kenny Perry,44,71,71,68,72,282,-,-,-,-,-,-,-2,0,,1,2,3,4
2005,British Open,Lars Brovold,-,75,74,-,-,149,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Lee Westwood,32,76,70,-,-,146,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Lloyd Saltman,19,73,71,68,71,283,-,-,-,-,-,-,-5,-0.9,,1,2,3,4
2005,British Open,Luke Donald,27,68,73,77,70,288,-,-,-,-,-,-,6,1,,1,2,3,4
2005,British Open,Maarten Lafeber,-,73,70,67,77,287,-,-,-,-,-,-,1,0.9,,1,2,3,4
2005,British Open,Marcus Fraser,26,78,75,-,-,153,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Mardan Mamat,37,75,72,-,-,147,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Mark Calcavecchia,44,70,73,73,73,289,-,-,-,-,-,-,3,0.9,,1,2,3,4
2005,British Open,Mark Hensby,32,67,77,69,70,283,-,-,-,-,-,-,-5,0.1,,1,2,3,4
2005,British Open,Mark O'Meara,48,71,75,-,-,146,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Martin Doyle,-,73,76,-,-,149,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Matthew Richardson,20,75,69,77,76,297,-,-,-,-,-,-,9,1.1,,1,2,3,4
2005,British Open,Michael Campbell,36,69,72,68,72,281,-,-,-,-,-,-,-1,0.5,,1,2,3,4
2005,British Open,Miguel Angel Jimenez,41,69,72,76,71,288,-,-,-,-,-,-,6,1,,1,2,3,4
2005,British Open,Mike Weir,34,76,75,-,-,151,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Murray Urquhart,-,73,78,-,-,151,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Nick Faldo,47,74,69,70,69,282,-,-,-,-,-,-,-4,-1.4,,1,2,3,4
2005,British Open,Nick Flanagan,-,73,71,69,71,284,-,-,-,-,-,-,-4,-0.8,,1,2,3,4
2005,British Open,Nick O'Hern,33,73,69,71,70,283,-,-,-,-,-,-,-1,-0.7,,1,2,3,4
2005,British Open,Nick Price,48,76,72,-,-,148,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Oscar Floren,20,73,78,-,-,151,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Pat Perez,29,72,70,72,77,291,-,-,-,-,-,-,7,1.7,,1,2,3,4
2005,British Open,Patrik Sjoland,33,74,71,76,71,292,-,-,-,-,-,-,2,-0.4,,1,2,3,4
2005,British Open,Paul Casey,-,75,75,-,-,150,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Paul Lawrie,36,72,71,75,70,288,-,-,-,-,-,-,2,-0.2,,1,2,3,4
2005,British Open,Paul McGinley,38,70,75,73,69,287,-,-,-,-,-,-,-3,-0.5,,1,2,3,4
2005,British Open,Pete Oakley,55,81,78,-,-,159,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Peter Baker,37,70,76,-,-,146,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Peter Fowler,-,74,72,-,-,146,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Peter Hanson,27,72,72,71,71,286,-,-,-,-,-,-,-2,-0.4,,1,2,3,4
2005,British Open,Peter Lawrie,-,74,78,-,-,152,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Peter Lonard,37,68,70,77,75,290,-,-,-,-,-,-,14,2.8,,1,2,3,4
2005,British Open,Phil Mickelson,-,74,67,72,76,289,-,-,-,-,-,-,7,1.1,,1,2,3,4
2005,British Open,Retief Goosen,36,68,73,66,74,281,-,-,-,-,-,-,-1,1.1,,1,2,3,4
2005,British Open,Rich Barcelo,29,80,71,-,-,151,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Rich Beem,34,74,79,-,-,153,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Richard Green,25,72,68,72,73,285,-,-,-,-,-,-,5,0.7,,1,2,3,4
2005,British Open,Richard Moir,-,83,75,-,-,158,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Robert Allenby,33,70,68,79,71,288,-,-,-,-,-,-,12,1.4,,1,2,3,4
2005,British Open,Robert Coles,-,76,74,-,-,150,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Robert Rock,-,73,71,75,72,291,-,-,-,-,-,-,3,0.1,,1,2,3,4
2005,British Open,Robert Steele,-,78,75,-,-,153,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Rod Pampling,35,74,71,71,80,296,-,-,-,-,-,-,6,1.8,,1,2,3,4
2005,British Open,Rory Sabbatini,29,72,79,-,-,151,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,S.K. Ho,31,73,71,72,77,293,-,-,-,-,-,-,5,1.3,,1,2,3,4
2005,British Open,Sandy Lyle,47,74,67,69,75,285,-,-,-,-,-,-,3,0.5,,1,2,3,4
2005,British Open,Scott Drummond,-,74,71,69,70,284,-,-,-,-,-,-,-6,-1.4,,1,2,3,4
2005,British Open,Scott Gutschewski,28,76,69,75,73,293,-,-,-,-,-,-,3,-0.3,,1,2,3,4
2005,British Open,Scott Hend,31,73,76,-,-,149,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Scott Verplank,40,68,70,72,74,284,-,-,-,-,-,-,8,2,,1,2,3,4
2005,British Open,Sean McDonagh,-,77,76,-,-,153,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Sean O'Hair,22,73,67,70,73,283,-,-,-,-,-,-,3,0.3,,1,2,3,4
2005,British Open,Sergio Garcia,25,70,69,69,73,281,-,-,-,-,-,-,3,0.9,,1,2,3,4
2005,British Open,Shaun Micheel,36,75,73,-,-,148,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Shigeki Maruyama,35,77,72,-,-,149,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Simon Dyson,27,70,71,72,73,286,-,-,-,-,-,-,4,1,,1,2,3,4
2005,British Open,Simon Khan,32,69,70,78,70,287,-,-,-,-,-,-,9,1.1,,1,2,3,4
2005,British Open,Soren Hansen,31,72,72,66,77,287,-,-,-,-,-,-,-1,0.9,,1,2,3,4
2005,British Open,Stephen Ames,41,76,74,-,-,150,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Stephen Dodd,38,75,71,-,-,146,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Stephen Gallacher,30,75,78,-,-,153,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Steve Flesch,37,74,70,72,78,294,-,-,-,-,-,-,6,1.4,,1,2,3,4
2005,British Open,Steve Webster,30,71,72,71,73,287,-,-,-,-,-,-,1,0.5,,1,2,3,4
2005,British Open,Stewart Cink,31,76,73,-,-,149,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Stuart Appleby,34,72,68,72,75,287,-,-,-,-,-,-,7,1.3,,1,2,3,4
2005,British Open,Tadahiro Takayama,27,72,72,70,70,284,-,-,-,-,-,-,-4,-0.8,,1,2,3,4
2005,British Open,Ted Purdy,31,72,72,77,72,293,-,-,-,-,-,-,5,0.5,,1,2,3,4
2005,British Open,Thammanoon Sriroj,-,84,77,-,-,161,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Thomas Bjorn,34,72,74,-,-,146,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Thomas Levet,36,69,71,75,71,286,-,-,-,-,-,-,6,1,,1,2,3,4
2005,British Open,Thongchai Jaidee,-,73,68,75,72,288,-,-,-,-,-,-,6,0.4,,1,2,3,4
2005,British Open,Tim Clark,-,71,69,70,74,284,-,-,-,-,-,-,4,1,,1,2,3,4
2005,British Open,Tim Herron,35,73,72,68,74,287,-,-,-,-,-,-,-3,-0.1,,1,2,3,4
2005,British Open,Tim Petrovic,-,77,75,-,-,152,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Tino Schuster,26,68,74,74,73,289,-,-,-,-,-,-,5,1.5,,1,2,3,4
2005,British Open,Todd Hamilton,39,74,74,-,-,148,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Tom Byrum,44,79,69,-,-,148,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Tom Lehman,-,75,69,70,70,284,-,-,-,-,-,-,-4,-1.4,,1,2,3,4
2005,British Open,Tom Pernice Jr,45,78,79,-,-,157,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Tom Watson,55,75,70,70,72,287,-,-,-,-,-,-,-3,-0.9,,1,2,3,4
2005,British Open,Tony Jacklin,60,79,76,-,-,155,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Toru Taniguchi,37,75,78,-,-,153,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Trevor Immelman,25,68,70,73,72,283,-,-,-,-,-,-,7,1.5,,1,2,3,4
2005,British Open,Vijay Singh,42,69,69,71,72,281,-,-,-,-,-,-,5,1.1,,1,2,3,4
2005,British Open,Wilhelm Schauman,-,81,71,-,-,152,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Y.E. Yang,33,76,71,-,-,147,-,-,-,-,-,-,,,,1,2,3,4
2005,British Open,Zach Johnson,29,77,70,-,-,147,-,-,-,-,-,-,,,,1,2,3,4
2005,Masters,Adam Scott,24,71,76,72,75,294,-,-,-,-,-,-,0,0.8,,1,2,3,4
2005,Masters,Angel Cabrera,35,77,73,-,-,150,-,-,-,-,-,-,,,,1,2,3,4
2005,Masters,Austin Eaton III,35,81,77,-,-,158,-,-,-,-,-,-,,,,1,2,3,4
2005,Masters,Ben Crenshaw,53,76,80,-,-,156,-,-,-,-,-,-,,,,1,2,3,4
2005,Masters,Ben Curtis,27,80,72,-,-,152,-,-,-,-,-,-,,,,1,2,3,4
2005,Masters,Bernhard Langer,47,74,74,70,71,289,-,-,-,-,-,-,-7,-1.3,,1,2,3,4
2005,Masters,Billy Casper,73,106,-,-,-,106,-,-,-,-,-,-,,,,1,2,3,4
2005,Masters,Bo Van Pelt,29,76,75,-,-,151,-,-,-,-,-,-,,,,1,2,3,4
2005,Masters,Carlos Franco,39,76,73,-,-,149,-,-,-,-,-,-,,,,1,2,3,4
2005,Masters,Casey Wittenberg,20,72,72,74,76,294,-,-,-,-,-,-,6,1.4,,1,2,3,4
2005,Masters,Chad Campbell,30,73,73,67,75,288,-,-,-,-,-,-,-4,0,,1,2,3,4
2005,Masters,Charles Coody,67,88,83,-,-,171,-,-,-,-,-,-,,,,1,2,3,4
2005,Masters,Charles Howell III,25,73,76,-,-,149,-,-,-,-,-,-,,,,1,2,3,4
2005,Masters,Chris DiMarco,36,67,67,74,68,276,-,-,-,-,-,-,8,1,,1,2,3,4
2005,Masters,Chris Riley,31,71,77,78,78,304,-,-,-,-,-,-,8,2.2,,1,2,3,4
2005,Masters,Craig Parry,39,72,75,69,74,290,-,-,-,-,-,-,-4,0,,1,2,3,4
2005,Masters,Craig Stadler,51,75,73,79,79,306,-,-,-,-,-,-,10,1.8,,1,2,3,4
2005,Masters,Darren Clarke,36,72,76,69,71,288,-,-,-,-,-,-,-8,-1,,1,2,3,4
2005,Masters,David Duval,33,75,77,-,-,152,-,-,-,-,-,-,,,,1,2,3,4
2005,Masters,David Howell,29,72,69,76,69,286,-,-,-,-,-,-,4,-0.2,,1,2,3,4
2005,Masters,David Toms,38,77,75,-,-,152,-,-,-,-,-,-,,,,1,2,3,4
2005,Masters,Davis Love III,41,76,75,-,-,151,-,-,-,-,-,-,,,,1,2,3,4
2005,Masters,Ernie Els,35,75,73,78,72,298,-,-,-,-,-,-,2,-0.4,,1,2,3,4
2005,Masters,Fred Couples,45,75,71,77,72,295,-,-,-,-,-,-,3,-0.3,,1,2,3,4
2005,Masters,Fred Funk,48,72,78,-,-,150,-,-,-,-,-,-,,,,1,2,3,4
2005,Masters,Freddie Jacobson,30,77,75,-,-,152,-,-,-,-,-,-,,,,1,2,3,4
